Date,Close
27-jan-17,121.95
26-jan-17,121.94
25-jan-17,121.88
24-jan-17,119.97
23-jan-17,120.08
20-jan-17,120.00
19-jan-17,119.78
18-jan-17,119.99
17-jan-17,120.00
13-jan-17,119.04
12-jan-17,119.25
11-jan-17,119.75
10-jan-17,119.11
09-jan-17,118.99
06-jan-17,117.91
05-jan-17,116.61
04-jan-17,116.02
03-jan-17,116.15
30-Dec-16,115.82
29-Dec-16,116.73
28-Dec-16,116.76
27-Dec-16,117.26
23-Dec-16,116.52
22-Dec-16,116.29
21-Dec-16,117.06
20-Dec-16,116.95
19-Dec-16,116.64
16-Dec-16,115.97
15-Dec-16,115.82
14-Dec-16,115.19
13-Dec-16,115.19
12-Dec-16,113.30
9-Dec-16,113.95
8-Dec-16,112.12
7-Dec-16,111.03
6-Dec-16,109.95
5-Dec-16,109.11
2-Dec-16,109.90
1-Dec-16,109.49
30-nov-16,110.52
29-nov-16,111.46
28-nov-16,111.57
25-nov-16,111.79
23-nov-16,111.23
22-nov-16,111.80
21-nov-16,111.73
18-nov-16,110.06
17-nov-16,109.95
16-nov-16,109.99
15-nov-16,107.11
14-nov-16,105.71
11-nov-16,108.43
10-nov-16,107.79
09-nov-16,110.88
08-nov-16,111.06
07-nov-16,110.41
04-nov-16,108.84
03-nov-16,109.83
02-nov-16,111.59
01-nov-16,111.49
31-Oct-16,113.54
28-Oct-16,113.72
27-Oct-16,114.48
26-Oct-16,115.59
25-Oct-16,118.25
24-Oct-16,117.65
21-Oct-16,116.60
20-Oct-16,117.06
19-Oct-16,117.12
18-Oct-16,117.47
17-Oct-16,117.55
14-Oct-16,117.63
13-Oct-16,116.98
12-Oct-16,117.34
11-Oct-16,116.30
10-Oct-16,116.05
7-Oct-16,114.06
6-Oct-16,113.89
5-Oct-16,113.05
4-Oct-16,113.00
3-Oct-16,112.52
30-Sep-16,113.05
29-Sep-16,112.18
28-Sep-16,113.95
27-Sep-16,113.09
26-Sep-16,112.88
23-Sep-16,112.71
22-Sep-16,114.62
21-Sep-16,113.55
20-Sep-16,113.57
19-Sep-16,113.58
16-Sep-16,114.92
15-Sep-16,115.57
14-Sep-16,111.77
13-Sep-16,107.95
12-Sep-16,105.44
9-Sep-16,103.13
8-Sep-16,105.52
7-Sep-16,108.36
6-Sep-16,107.70
2-Sep-16,107.73
1-Sep-16,106.73
31-Aug-16,106.10
30-Aug-16,106.00
29-Aug-16,106.82
26-Aug-16,106.94
25-Aug-16,107.57
24-Aug-16,108.03
23-Aug-16,108.85
22-Aug-16,108.51
19-Aug-16,109.36
18-Aug-16,109.08
17-Aug-16,109.22
16-Aug-16,109.38
15-Aug-16,109.48
12-Aug-16,108.18
11-Aug-16,107.93
10-Aug-16,108.00
9-Aug-16,108.81
8-Aug-16,108.37
5-Aug-16,107.48
4-Aug-16,105.87
3-Aug-16,105.79
2-Aug-16,104.48
1-Aug-16,106.05
29-jul-16,104.21
28-jul-16,104.34
27-jul-16,102.95
26-jul-16,96.67
25-jul-16,97.34
22-jul-16,98.66
21-jul-16,99.43
20-jul-16,99.96
19-jul-16,99.87
18-jul-16,99.83
15-jul-16,98.78
14-jul-16,98.79
13-jul-16,96.87
12-jul-16,97.42
11-jul-16,96.98
08-jul-16,96.68
07-jul-16,95.94
06-jul-16,95.53
05-jul-16,94.99
01-jul-16,95.89
30-jun-16,95.60
29-jun-16,94.40
28-jun-16,93.59
27-jun-16,92.04
24-jun-16,93.40
23-jun-16,96.10
22-jun-16,95.55
21-jun-16,95.91
20-jun-16,95.10
17-jun-16,95.33
16-jun-16,97.55
15-jun-16,97.14
14-jun-16,97.46
13-jun-16,97.34
10-jun-16,98.83
09-jun-16,99.65
08-jun-16,98.94
07-jun-16,99.03
06-jun-16,98.63
03-jun-16,97.92
02-jun-16,97.72
01-jun-16,98.46
31-May-16,99.86
27-May-16,100.35
26-May-16,100.41
25-May-16,99.62
24-May-16,97.90
23-May-16,96.43
20-May-16,95.22
19-May-16,94.20
18-May-16,94.56
17-May-16,93.49
16-May-16,93.88
13-May-16,90.52
12-May-16,90.34
11-May-16,92.51
10-May-16,93.42
9-May-16,92.79
6-May-16,92.72
5-May-16,93.24
4-May-16,94.19
3-May-16,95.18
2-May-16,93.64
29-Apr-16,93.74
28-Apr-16,94.83
27-Apr-16,97.82
26-Apr-16,104.35
25-Apr-16,105.08
22-Apr-16,105.68
21-Apr-16,105.97
20-Apr-16,107.13
19-Apr-16,106.91
18-Apr-16,107.48
15-Apr-16,109.85
14-Apr-16,112.10
13-Apr-16,112.04
12-Apr-16,110.44
11-Apr-16,109.02
8-Apr-16,108.66
7-Apr-16,108.54
6-Apr-16,110.96
5-Apr-16,109.81
4-Apr-16,111.12
1-Apr-16,109.99
31-mar-16,108.99
30-mar-16,109.56
29-mar-16,107.68
28-mar-16,105.19
24-mar-16,105.67
23-mar-16,106.13
22-mar-16,106.72
21-mar-16,105.91
18-mar-16,105.92
17-mar-16,105.80
16-mar-16,105.97
15-mar-16,104.58
14-mar-16,102.52
11-mar-16,102.26
10-mar-16,101.17
09-mar-16,101.12
08-mar-16,101.03
07-mar-16,101.87
04-mar-16,103.01
03-mar-16,101.50
02-mar-16,100.75
01-mar-16,100.53
29-Feb-16,96.69
26-Feb-16,96.91
25-Feb-16,96.76
24-Feb-16,96.10
23-Feb-16,94.69
22-Feb-16,96.88
19-Feb-16,96.04
18-Feb-16,96.26
17-Feb-16,98.12
16-Feb-16,96.64
12-Feb-16,93.99
11-Feb-16,93.70
10-Feb-16,94.27
9-Feb-16,94.99
8-Feb-16,95.01
5-Feb-16,94.02
4-Feb-16,96.60
3-Feb-16,96.35
2-Feb-16,94.48
1-Feb-16,96.43
